Place Name,Rating,About Place,Best Time To Visit
D.S Inn,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government ID cards are mandatory during the time of check in. Doctor on Call|Parking Facilities Available|Front Desk|Luggage Storage|Doorman|Internet Access Free|Baggage Room|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,
"Clarks Inn, Kailash Colony",4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: 1.	Valid ID proof is required at the time of Check/In. 2.	Hotel can refuse to take un married couples with no refund once the booking is made. 3.	Local ID will not be allowed to Check/In. Kindly furnish the Government Address Proof at the time of checkin. as per Delhi Police notification Room accommodation is not Valid for the guest who have Delhi and NCR address proof. hotel may refuse to offer room to unmarried couples only . Banquet Facilities|Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|Conference Facility,
Dev Villa,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Airport Transfer Available / Surcharge|Banquet Facilities|Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage|Power Backup|Wake-up Call / Service|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Taxi Services|Food Facility|Newspapers In Lobby|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility|Room Service,
Comfort zone,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check-in check-out 12 noon, but if couple   checks in early can stay in the rest room till previous guest vacates and we get the room spic and span. Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Pets Allowed|Locker Facility|Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Express Check-In / Check-Out|Gardens|Computer Rental|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Smoking Rooms|Kitchen available (home cook food on request)|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Veranda| Bike on Rent|Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|Self Check - In|Taxi Services|City Shuttle Service|Food Facility| Drivers Rest Room|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility",
Coral Lake resort,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID Cards Are mandatory at the time of check in. Swimming Pool|Doctor on Call|Games Zone|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Table Tennis|Luggage Storage|Doorman|Welcome Drinks|Power Backup|Gardens|Pool Table|Vegetarian Food / Jain Food Available|Badminttion Court|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,
De Rock,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Basketball Court |Gift Shop |Health Club / Gym Facility Available|Library|Parking Facilities Available|Multi Cuisine Restaurant |Table Tennis|24 Hour Front Desk|Fitness Equipment|Conference Facility |Pool Table|Safari|Badminttion Court|Food Facility|Room Service (24 Hours)|Guide / Sightseeing Service|Parking Facility,
Dev Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Power Backup|Conference Facility |Food Facility| Drivers Rest Room|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Baggage Room|Airport Transfer Free|Parking Facility,
Dayal Regency Manesar,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Swimming Pool|Banquet Facilities|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Parking Facility,
Dandeli Kingfisher Jungle Stay,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Room Service (24 Hours)|First-Aid Kit at Front Desk,
Desert Safariors Camp,4.0,The standard check-in time is 02:30 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in- 2:30 Pm onwards Checkout : 10:00 Am Booking will be confirmed after 100% advance in Hotel Bank Account. Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Currency Exchange|Doctor on Call|Laundry Service Available|Night Club|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Hookah Lounge|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Express Check-In / Check-Out|Gardens|Wedding Services Facility|Dance Performances (on demand)|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Fire Place Available |Safari|Camel Ride|Open Air Restaurant / Dining |Transfers Available| Bike on Rent|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|Taxi Services|Campfire / Bon Fire|Food Facility|Children's Park|Family Room|Party hall|Baggage Room|Guide / Sightseeing Service|Parking Facility|Restaurant|Ayurvedic Facilities |Fire Safety,
Club Mahindra Kumarakom,4.0,"The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly As per the Government directives it is Mandatory for all the guest Foreign Nationals , NRI and Indian National to show their Photo ID proof at the time of Check In which can be in form of Passport and Visa Copy, Driving License, PAN Card , Voter ID Card , failing which the hotel reserves the right of refusal.In case of Foreign National and NRI passport and VISA is required. ",
Dev Lok International,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly guest house respects the privacy of all its customer and business partners. Arrival and Departure policy as below :-  Check in and Check out - 1200 Hours  Early in Check and Late Check out Subjected to availability. Business Center |Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Suitable For Children|Food Facility|Room Service|Full Time Operation for All 7 Days|Public Restrooms,
Clara Hotels,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates , extra supplement will be charged over and above the paid rates as per actual and hotel discretion Doctor on Call|Parking Facilities Available|Locker Facility|24 Hour Front Desk|Newspapers In Lobby|Children's Park|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs",
Cuba Agonda,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Airport Transfer Available / Surcharge|Bar / Lounge |Locker Facility|Local Tour / Travel Desk|Gardens|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Bike on Rent|Car Rental|Yoga Hall / Classes|Guide / Sightseeing Service|Restaurant|Room Service",
Crown Plaza,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check-in / late check-out are subject to availability of rooms. Check-in / Check-out time is 12 noon. Aforesaid rates are per night, EP/CP basis and net non commissionable. Extension of stay is subject to availability of rooms. Doctor on Call|Parking Facilities Available|24 Hour Front Desk|Power Backup|Food Facility|Newspapers In Lobby|STD / ISD|RO Water Purification System|Internet Access",
Cube @ Medanta,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Front Desk|Power Backup|Outdoor Parking - Secured|Parking Facility,
Dean Dale Cottage,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. It is mandatory for guests to present valid photo identification at the time of check-in. According to government regulations, a valid Photo ID has to be carried by every person above the age of 18 staying at the hotel. The identification proofs accepted are Driving License, Voter ID Card, and Passport. Without valid ID the guest will not be allowed to check-in. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Power Backup|Fire Place Available |Parking Facility|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk",
Club Kensville Golf Resort,4.0,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in 1300 Hrs - Check out 1100 Hrs.  Booking confirmation on 100% advance payment only. The rooms are subject to availability at the time of confirming the booking. The hotel reserves the right to change the rate a Swimming Pool|Banquet Facilities|Basketball Court |Billiards|Business Center |Concierge|Disabled Friendly Facilities |Dry Cleaning|Games Zone|Golf Course|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Squash court|Table Tennis|Tennis Court|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Wedding Services Facility|Catering|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Fire Place Available |Free Local Calls|Picnic Area|Wheelchair Accessibility - Room|Pool Table|Massage Services |Clubhouse|Open Air Restaurant / Dining | Bike on Rent|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Express Laundry|Kids Play Zone|Oxygen Cylinder (on request)|Meditation Room|Badminttion Court|Board Room|Karaoke |Rooftop Garden|Food Facility| Drivers Rest Room|Newspapers In Lobby|Yoga Hall / Classes|Children's Park|Family Room|Room Service (24 Hours)|Spa Services Nearby|Party hall|Spa Services Onsite - Free|STD / ISD|Baggage Room|Laptop Available on Hire|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Trekking|Fire Safety|Recreation Zone|CCTV|First-Aid Kit at Front Desk|Pest Control Facility|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Suites,
Desert Haveli Guest House,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  peace be maintained in room,T.V. be used up to reasonable sound level. alcohol  drinking not allowed, also drunk not allowed to stay in hotel,food eating in room  are not allowed . pates are not allowed in the hotel. original photo Id is must, Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Internet Access Free|Room Service (24 Hours)",
Coorg Live in  Estate stay,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge on compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Doctor on Call|Dry Cleaning|Golf Course|Internet Access - Surcharge|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Cell Phone Rental|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Transfers Available| Bike on Rent|Car Rental|Taxi Services|Campfire / Bon Fire|Food Facility|Newspapers In Lobby|Children's Park|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Parking Facility|Room Service",
Clarks Inn,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ID cards are mandatory during the time check in. Doctor on Call|Front Desk|Room Service (24 Hours)|Room Service|First-Aid Kit at Front Desk|Public Restrooms,
Club Mahindra Puducherry,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund Swimming Pool|Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Gardens|Conference Facility |Smoking Area |Room Service,
Colors Apart Hotel,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Fitness Equipment|Parking Facility|Internet Access|Restaurant|Room Service,
Country Inn and Suites By Carlson Amritsar,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 02 Children upto the age of 5 are complimentary in the room (without extra bed) Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Front Desk|Room Service (24 Hours)|Parking Facility,
Clarem Guest House,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. ,
Club Mahindra Corbett,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Swimming Pool|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Games Zone|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Spa On Site - Chargeable|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Conference Facility |Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,
Country Tavern,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. 2.The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. 3.Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. Barbecue Area|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Gardens|Kitchen available (home cook food on request)|Veranda|Open Air Restaurant / Dining |Campfire / Bon Fire|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Restaurant",
Damysharina Guest House,4.0,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Original Id prof is required before check in Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Gardens|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Smoking Rooms|ATM / Banking|Smoking Area |Extra Person / Child - Share the same room|Taxi Services|Food Facility|Newspapers In Lobby|Family Room|Spa Services Nearby|Parking Facility|Restaurant|Room Service,
Corbett Blue Sky Resort (A Unit of Orawar Hotels &amp; Resorts),4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be Paid **** Mandatory New Year Gala Dinner Charges on 31st Dec at Rs.3500  per person and INR 1750/- per adult (above 11 years) and INR 1200/- per child (age 7 to 11 years),to be paid at the hotel directly at the time of check in. Swimming Pool|Banquet Facilities|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Wedding Services Facility|Wake-up Call / Service|Pool Table|Safari|Badminttion Court|Internet Access Free|Room Service (24 Hours)|Party hall|Baggage Room|Parking Facility",
Desert Safari Camps,4.0,The standard check-in time is 03:00 AM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Parking Facilities Available|Hookah Lounge|Gardens|Dance Performances (on demand)|Conference Facility |Kitchen available (home cook food on request)|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Air / Rail Booking|Guide / Sightseeing Service|Courtesy Coach|Parking Facility,
Country Spa Kuteeram,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Food Facility,
Delhi Bed and Breakfast,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Beauty Salon - on charge|Billiards|Bowling|Business Center,
Country Inn By Carlson Indore,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guest has to carry valid ID proof and has to present that at time of  Check-In. Banquet Facilities|Bar / Lounge |Business Center |Health Club / Gym Facility Available|Multi Cuisine Restaurant |Open Air Restaurant / Dining |Internet Access Free|Newspapers In Lobby,
Clarks INN Suite,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government ID cards are mandatory during the time of check in. Health Club / Gym Facility Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Room Service (24 Hours)|Restaurant|Room Service|First-Aid Kit at Front Desk|Public Restrooms,
Coffee Tranquil Homestay,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,
Club Mahindra madikeri Coorg,4.0,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly If Cancelled Before 31 days it will be Full Refund        If cancelled from 31 days to 15 Days it will be 50% Refund If cancelled from 14 days to day of arrival or No Show it will be NO Refund Swimming Pool|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted,
Day Dream Hotelz,4.0,The standard check-in time is 01:00 AM and the standard check-out time is 11:45 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 Hour Front Desk|Luggage Storage|Newspapers In Lobby|Room Service,
Deluxe Home Stay Gagret,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid ID proof is required at the time of check in for all guests. Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Food Facility|Room Service|Porter Services Available|Public Restrooms,
Clarks Inn Suites,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Local ID is not allowed to some Government Order. Bar / Lounge |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Smoking Area |Room Service (24 Hours)|Parking Facility|Smoke Detector,
Dev Daru Bangalow,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly ,
Citrus Hotels Gurgaon Central,4.0,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 2 pieces Ironing per night. It is compulsory to give the Aadhar card or Driving license or Passport or Election card as a valid proof. PAN Card will NOT be considered as valid identity proof. Cancel before 48 hours in order to avoid any retention charges. If cancelled within 48 hours, 1 night retention to be charged. No refunds would be made against any No Shows. Extra Child (5-12 years without bed) wiil be chargeble.  Extra Child (below 5 years) will be Complimentary Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Electronic / Magnetic Keys|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD",
Deep Hotel,4.0,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. Doctor on Call|Parking Facilities Available|Local Tour / Travel Desk|Medical Assistance Available|Parking Facility",
Clove Spice Routes Luxury Cruise,4.0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances) Doctor on Call|Lobby|Non Smoking Rooms|Front Desk|Extra Person / Child - Share the same room|Family Room|Room Service (24 Hours)|Adjoining Rooms|RO Water Purification System|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,
Dalgoma Houseboat,4.0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion. Doctor on Call|Front Desk|Parking Facility|Room Service",
